,Country Name,Country Code,Population,Working Age Population Percent,Urban Population Percent,Rural Population Percent,Life Expectancy Years,Refugees by Origin,Refugees by Destination,Land Area Sq km,Forest Area Sq km,Agricultural Land Percent,Arable Land Percent,CO2 Tonnes per Capita,Low Elevation Percent,Water Percent,Irrigation Percent,Fertilizer Intensity,GDP per Capita PPP,Gini Index,Agriculture Percent GDP,Industry Percent GDP,Military Percent GDP,Energy MM BTU per Capita,Renewable Percent,Attended Births Percent,Contraceptive Percent,Diabetes Percent,HIV Prevalence Percent,Immunized DPT Percent,Immunized Measles Percent,Mortality Communicable Percent,Mortality Infant per 1K,Mortality Injury Percent,Mortality Maternal per 100K,Mortality Non-Communicable Deaths Percent,Mortality Traffic per 100K,Surgeons per 100K,Teen Fertility per 1K,Tuberculosis per 100K,Undernourished Percent
120,Monaco,MCO,36469.0,51.0488359976967,100.0,0.0,,5.0,17.0,2.084,0.0,,,,7.899185738956,,,,,,,12.3191272552898,,,,,,6.2,,99.0,88.0,,1.0,,,,0.0,195.6,7.162,1.1,
121,Algeria,DZA,44903225.0,62.9689671510231,74.772,25.228,76.377,7703.0,99107.0,2381741.0,0.822227647758509,17.347004145287,3.16180474703169,3.7182233703076,1.2456681044134,87.152129456744,3.34465491648516,20.6756433750299,13226.789566754,27.6,11.5851896795816,45.9001473519979,4.77943828648395,52.86284454272743,99.9779167201605,98.8,53.6,7.1,0.1,77.0,79.0,12.9844112787695,19.2,7.66004004219541,78.0,79.3555504278759,20.9,12.13,11.714,51.0,2.5
122,Mozambique,MOZ,32969518.0,53.9105492244298,38.187,61.813,59.325,104.0,4992.0,786380.0,46.412173122409,52.6638927744856,7.18482158752766,0.222767552715213,2.79978954807574,1.46859421734796,0.106340094096383,12.2568548672566,1477.34939961028,50.5,26.7262924493763,22.7877362490111,1.5078235912053,17.719818866945154,12.6199534718635,73.0,27.1,3.3,,61.0,84.0,54.4396366039944,51.0,9.39619580490294,127.0,36.1641671601934,30.0,0.53,165.778,361.0,30.5
123,eSwatini,SWZ,1201670.0,61.3046171974763,24.576,75.424,57.066,127.0,1173.0,17200.0,28.9982558139535,69.4767441860465,10.2906976744186,0.972087527685903,0.0,40.4545454545455,3.66339869281046,57.7737853107345,10699.5423550208,54.6,8.58611563494535,33.3716409535624,1.64512139394137,15.473335067637892,0.0,88.3,66.1,4.6,27.9,97.0,83.0,42.0794029267991,41.5,12.0582584827889,240.0,45.8623399494381,33.5,0.17,69.934,325.0,11.6
124,Burundi,BDI,12889576.0,51.7465760027104,14.417,85.583,61.663,320536.0,84636.0,25680.0,10.8894080996885,81.892523364486,49.4548286604361,0.0583840218352736,0.0,2.78429423459245,,19.0743622047244,836.464567494017,38.6,27.5667146443796,10.6377881444691,2.76041457754835,,,85.1,28.5,6.5,0.9,91.0,89.0,51.1748058045556,37.6,12.0613038251609,494.0,36.7638905790271,35.5,0.4,53.621,97.0,
125,Rwanda,RWA,13776698.0,58.3371667992275,17.721,82.279,66.072,249685.0,120753.0,24670.0,11.2282124037292,81.2509120389137,51.4146736927442,0.105124140047262,0.0,6.42105263157895,0.422115895800106,23.9011825922422,2793.1850208006,43.7,24.8970465483762,21.2368617688045,1.44995636096192,,,94.2,64.1,6.5,2.3,98.0,96.0,38.1809158837927,29.7,11.4263943162598,259.0,50.3926880607269,29.4,0.75,32.444,56.0,31.6
126,Myanmar,MMR,54179306.0,68.5436409982808,31.771,68.229,65.672,1253111.0,,652670.0,43.2901466284646,19.8875388787596,16.8385248287802,0.634080348390974,6.81173845504917,3.313821300359,13.2049306625578,38.6605832575068,5019.73973180583,30.7,22.3343500768495,38.2471357653023,3.04694924417989,14.991635425750989,44.2898952399838,60.2,52.2,7.1,0.8,71.0,75.0,21.5972988139263,33.7,7.25817448066616,179.0,71.1445252140296,20.4,2.42,33.043,475.0,3.8
127,Bangladesh,BGD,171186372.0,67.9864231015235,39.711,60.289,72.381,23927.0,952384.0,130170.0,14.4687716063609,77.3450103710532,62.3031420450181,0.510647559277094,8.38183750736477,34.1619047619048,78.9034564958284,384.209617755857,7397.54573714685,31.8,11.2176010351595,33.9200804971876,1.12882010548687,9.006310672508572,73.7689379450086,59.0,62.7,14.2,0.1,98.0,97.0,22.6128372233556,22.9,7.13149266345035,123.0,70.2556717831391,15.3,2.91,75.496,221.0,11.2
128,Andorra,AND,79824.0,72.2370465023051,87.811,12.189,,5.0,,470.0,34.0425531914894,39.9068085106383,1.59063829787234,5.77714799227799,0.0,,,,,,0.495686274509804,11.921568627451,,,,100.0,,9.7,,98.0,98.0,,2.6,,,,7.6,83.11,5.887,5.8,
129,Afghanistan,AFG,41128771.0,54.4750267397973,26.616,73.384,61.982,5661675.0,52159.0,652230.0,1.85278199408184,58.7415482268525,12.0034343713107,0.223478872007068,0.0,43.0159066808059,6.50692976274372,5.20257248690765,1673.14418861155,,33.5976188725451,14.2736570191788,1.827933856217,,,61.8,22.5,10.9,0.1,69.0,68.0,32.9304513537869,43.4,17.2884637273119,620.0,49.7810848710223,15.9,0.03,82.565,185.0,30.1
